title,year,venue,location,link
"Local-first software for marginalized communities: principles and tactics", 2020 - Postponed due to COVID-19, RightsCon, Costa Rica  
"Secure and resilient peer-to-peer applications", 2020 - Postponed due to COVID-19, B-Sides, Barcelona 
"What Engineering Teams can learn from Open Source Projects",2020,DevTeam,San Francisco,https://www.youtube.com/watch?v=FDNvCy6B15o
"The Dat Protocol",2019,"Ethereum Devcon","Taipei",https://devcon.org/agenda?talk=recymIHIleMLfXc5A
"The Web of Commons",2018,Distributed Web Summit,San Francisco,https://archive.org/details/dweb-8_1_18_Hash_Lounge_Thewebofcommons_KarissaMcKelvey
"Dat: Secure, Real-Time, Distributed Data Tool",2018,Privacy Lab,San Francisco,https://www.facebook.com/wisp.women/videos/vb.737338803052323/1409002149219315/?type=2&theater
"Keynote: Data Stored Everywhere and Nowhere",2017,NodeConf,Buenos Aires,https://www.youtube.com/watch?v=NcHzbwcFr6k
"Keynote: The Web of Commons",2017,Full Stack Fest,Barcelona,https://www.youtube.com/watch?v=bE1LAxYazbY
"Distributed Digital Identity without Blockchain",2017,Universitat Pompeu Fabra,Barcelona,
"Dat: Secure, Real-Time, Distributed Data Tool",2017,Lawrence National Lab,UC Berkeley,
"Scaling Up Active Hyperrealism",2017,Escuela de Arte Útil,San Francisco,https://www.youtube.com/watch?v=S2FllcS2XR4&list=PLQDhk5q2sSEaTEey6e_SCOtbz4hGbU6YU&index=4&t=0s
"International Research Data Commons",2017,Love your Data Week,UC Berkeley,https://update.lib.berkeley.edu/tag/research-data-management/
"Panel: Moonshot Challenge – What could you do to Decentralize Scientific Journal Articles?",2016,The Internet Archive,San Francisco,"https://archive.org/details/DWebSummit2016_Panel_Moonshot_Challenge, 2016"
"How to run a FOSS project",2016,Open Knowledge Foundation Deutschland,Berlin,https://www.youtube.com/watch?v=TF53JpXJlcY
"Breaking Down Open Data Silos",2016,Knight Foundation,New York City,https://vimeo.com/157333353
"Scientific Data Reproducibility is Data Collaboration",2015,Berkeley Instittue for Data Science,UC Berkeley,https://bids.berkeley.edu/events/erik-petigura-and-karissa-mckelvey
"Managing changes to your data with dat",2015,Empire JS,New York City,https://www.youtube.com/watch?v=FSljZcPvFhQ
"Intro to Python Data Analysis",2013,PyData,New York City,https://vimeo.com/80102833
"The Promise and Peril of Digital Democracy",2012,Science Cafe,Bloomington,https://www.youtube.com/watch?v=xSYj-52S9qo
